# file...... Output/house_1_1B_tm_1_B_1_Meter_22_169.csv
# date...... Tue Dec  5 21:17:54 2017
# user...... yingying
# host...... (null)
# target.... house 1231
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_state, air_temperature, hvac_load, total_load
2010-08-16 00:05:11 UTC,OFF,+74.3761963025,+0,+1.3615
2010-08-16 00:05:12 UTC,OFF,+74.3768790684,+0,+1.3615
2010-08-16 00:05:13 UTC,OFF,+74.3775605218,+0,+1.3615
2010-08-16 00:05:14 UTC,OFF,+74.3782406669,+0,+1.3615
2010-08-16 00:05:15 UTC,OFF,+74.378919508,+0,+1.3615
2010-08-16 00:05:16 UTC,OFF,+74.379597049,+0,+1.3615
2010-08-16 00:05:17 UTC,OFF,+74.3802732943,+0,+1.3615
2010-08-16 00:05:18 UTC,OFF,+74.380948248,+0,+1.3615
2010-08-16 00:05:19 UTC,OFF,+74.3816219141,+0,+1.3615
2010-08-16 00:05:20 UTC,OFF,+74.3822942967,+0,+1.3615
2010-08-16 00:05:21 UTC,OFF,+74.3829654001,+0,+1.3615
2010-08-16 00:05:22 UTC,OFF,+74.3836352282,+0,+1.3615
2010-08-16 00:05:23 UTC,OFF,+74.3843037852,+0,+1.3615
2010-08-16 00:05:24 UTC,OFF,+74.384971075,+0,+1.3615
2010-08-16 00:05:25 UTC,OFF,+74.3856371017,+0,+1.3615
2010-08-16 00:05:26 UTC,OFF,+74.3863018695,+0,+1.3615
2010-08-16 00:05:27 UTC,OFF,+74.3869653822,+0,+1.3615
2010-08-16 00:05:28 UTC,OFF,+74.3876276438,+0,+1.3615
2010-08-16 00:05:29 UTC,OFF,+74.3882886585,+0,+1.3615
2010-08-16 00:05:30 UTC,OFF,+74.3889484301,+0,+1.3615
2010-08-16 00:05:31 UTC,OFF,+74.3895978842,+0,+1.3615
2010-08-16 00:05:32 UTC,OFF,+74.3902461284,+0,+1.3615
2010-08-16 00:05:33 UTC,OFF,+74.3908931667,+0,+1.3615
2010-08-16 00:05:34 UTC,OFF,+74.3915390028,+0,+1.3615
2010-08-16 00:05:35 UTC,OFF,+74.3921836406,+0,+1.3615
2010-08-16 00:05:36 UTC,OFF,+74.3928270839,+0,+1.3615
2010-08-16 00:05:37 UTC,OFF,+74.3934693365,+0,+1.3615
2010-08-16 00:05:38 UTC,OFF,+74.3941104022,+0,+1.3615
2010-08-16 00:05:39 UTC,OFF,+74.3947502849,+0,+1.3615
2010-08-16 00:05:40 UTC,OFF,+74.3953889882,+0,+1.3615
2010-08-16 00:05:41 UTC,OFF,+74.3960265159,+0,+1.3615
2010-08-16 00:05:42 UTC,OFF,+74.3966628718,+0,+1.3615
2010-08-16 00:05:43 UTC,OFF,+74.3972980596,+0,+1.3615
2010-08-16 00:05:44 UTC,OFF,+74.3979320831,+0,+1.3615
