# file...... Output/Qh/house_Qh_file_055.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_14C_tm_3_C_14_Meter_92_1081:Qh,house_3_15C_tm_3_C_15_Meter_92_1082:Qh,house_3_1A_tm_3_A_1_Meter_94_1083:Qh,house_3_2A_tm_3_A_2_Meter_94_1084:Qh,house_3_3A_tm_3_A_3_Meter_94_1085:Qh,house_3_4A_tm_3_A_4_Meter_94_1086:Qh,house_3_5A_tm_3_A_5_Meter_94_1087:Qh,house_3_6A_tm_3_A_6_Meter_94_1088:Qh,house_3_7A_tm_3_A_7_Meter_94_1089:Qh,house_3_8A_tm_3_A_8_Meter_94_1090:Qh,house_3_9A_tm_3_A_9_Meter_94_1091:Qh,house_3_10A_tm_3_A_10_Meter_94_1092:Qh,house_3_11A_tm_3_A_11_Meter_94_1093:Qh,house_3_12A_tm_3_A_12_Meter_94_1094:Qh,house_3_13A_tm_3_A_13_Meter_94_1095:Qh,house_3_14A_tm_3_A_14_Meter_94_1096:Qh,house_3_15A_tm_3_A_15_Meter_94_1097:Qh,house_3_1B_tm_3_B_1_Meter_95_1098:Qh,house_3_2B_tm_3_B_2_Meter_95_1099:Qh,house_3_3B_tm_3_B_3_Meter_95_1100:Qh
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39448.8336057,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39430.864638,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39433.3047357,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,-30672.024454,+0,+0,+0,-43761.1873077,+0,+0,+0,+0,+0,+0,+0,+0,-39389.2074922,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,-30673.0804427,+0,+0,+0,-43784.3419289,+0,+0,+0,+0,+0,+0,+0,+0,-39410.0494355,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,-30672.4981606,+0,+0,+0,-43778.7929957,+0,+0,+0,+0,+0,+0,+0,+0,-39405.0547294,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,-30700.2653641,+0,+0,+0,-43762.3151192,+0,+0,+0,+0,+0,+0,+0,+0,-39390.2226585,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,-30668.6117836,+0,+0,+0,-43760.2925997,+0,+0,+0,+0,+0,+0,+0,+0,-39388.4021479,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,-30656.0070391,+0,+0,+0,-43777.6867011,+0,+0,+0,-21892.3974983,+0,+0,+0,+0,+0,+0,+0,-39403.8917698,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,-43703.6556615,+0,+0,+0,-21855.3744343,+0,+0,+0,+0,+0,+0,+0,-39337.255345,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-21890.4186472,+0,+0,+0,+0,+0,+0,+0,-39400.33011,+0,+0,-21863.2113978
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-21867.4228323,+0,+0,+0,-61212.7749478,+0,+0,+0,-39358.9408046,+0,+0,-21843.1274195
